//Trash sites located around the Mahidol University Salaya Campus
int,string,double,double,int arr[8]
0,Name,x,y,catagory
1,Alpha,42.12,13.53,10010101
2,Bravo,87.34,5.21,01011001
3,Charlie,23.47,99.88,11000110
4,Delta,68.05,41.30,00101101
5,Echo,12.99,74.62,10110010
6,Foxtrot,56.11,8.07,01101001
7,Golf,33.26,92.40,10001011
8,Hotel,7.88,61.77,01000110
9,India,49.50,27.13,11100001
10,Juliet,95.02,44.66,00110110
11,Kilo,71.19,2.58,10101010
12,Lima,18.44,36.90,01010011
13,Mike,62.73,53.21,11011000
14,November,29.01,79.34,00100011
15,Oscar,84.67,11.45,10011100
16,Papa,6.32,66.88,01101110
17,Quebec,54.95,39.77,10100101
18,Romeo,38.40,88.19,01001010
19,Sierra,47.23,20.05,11001101
20,Tango,90.11,58.44,00111000
21,Uniform,11.70,71.99,10000011
22,Victor,27.86,4.33,01110010
23,Whiskey,64.52,83.08,10110100
24,X-ray,2.14,46.55,01001101
25,Yankee,76.39,30.67,11010011
26,Zulu,59.08,15.92,00100110
